Dead Man's Chest,2006,Jerry Bruckheimer,Gore Verbinski,Johnny Depp:Orlando Bloom:Keira Knightley
The Da vinci code,2006,Brian Grazer,Ron Howard,Tom Hanks:Audrey TautouIan:McKellen
Mission Impossible II,2000,Tom Cruise,John Woo,Tom Cruise:Dougray Scott:Thandie Newton
The Meltdown,2006,Lori Forte,Carlos Saldanha,Ray Romano:John Leguizamo:Denis Leary
Casino Royale,2006,Barbara Broccoli,Martin Campbell,Daniel Craig:Eva Green:Mads Mikkelsen
Harry Potter and the Goblet of Fire,2005,David Heyman,Mike Newell,Daniel Radcliffe:Rupert Grint:Emma Watson
Night at the museum,2006,Shawn Levy,Shawn Levy,Ben Stiller:Owen Wilson:Carla Gugino
Gladiator,2000,Douglas Wick,Ridley Scott,Russell Crowe:Joaquin Phoenix
Revenge of the Sith,2005,Rick McCallum,George Lucas,Ewan McGregor:Natalie Portman:Hayden Christensen:Ian McDiarmid:Samuel L. Jackson:Christopher Lee:Anthony Daniels:Kenny Baker:Frank Oz
Cast Away,2000,Jack Rapke,Robert Zemeckis,Tom Hanks:Helen Hunt
Cars,2006,Darla K. Anderson,John Lasseter,Owen Wilson:Paul Newman:Bonnie Hunt
The Witch and the Wardrobe,2005,Mark Johnson:Phillip Steuer,Andrew Adamson,William Moseley:Anna Popplewell:Skandar Keynes
The last stand,2006,Lauren Shuler Donner,Brett Ratner,Hugh Jackman:Halle BerryIan:McKellen
War of the Worlds,2005,,,Kathleen Kennedy:Colin Wilson
Steven Spielberg,,,,Tom Cruise:Dakota Fanning:Justin Chatwin
MI3,2006,Tom Cruise,J. J. Abrams,Tom Cruise:Philip Seymour Hoffman:Ving Rhames
King Kong,2005,Jan Blenkin:Carolynne Cunningham:Fran Walsh:Peter Jackson,Peter Jackson,Naomi Watts:Jack Black:Adrien Brody
What Women Want,2000,Susan Cartsonis,Nancy Meyers,Mel Gibson:Helen Hunt
Superman Returns,2006,Jon Peters,Bryan Singer,Brandon Routh:Kate Bosworth:James Marsden
Madagascar,2005,Mireille Soria,Eric Darnell:Tom McGrath,Ben Stiller:Chris Rock:David Schwimmer
Happy feet,2006,Bill Miller,George Miller,Brittany Murphy:Hugh Jackman:Nicole Kidman
